16-02-2021 12:04:09 INFO [Test_Suit  ]: https://www.earlysalary.com/founders - OK
16-02-2021 12:04:09 INFO [Test_Suit  ]: https://www.earlysalary.com/contact-us - OK
16-02-2021 12:04:09 INFO [Test_Suit  ]: https://www.earlysalary.com/SignUp - OK
16-02-2021 12:04:10 INFO [Test_Suit  ]: https://play.google.com/store/apps/details?id=com.earlysalary.android&hl=en_IN - Not Found
16-02-2021 12:04:10 INFO [Test_Suit  ]: https://itunes.apple.com/in/app/earlysalary-salary-advance-app/id1094602630?mt=8 - OK
16-02-2021 12:04:11 INFO [Test_Suit  ]: https://www.facebook.com/EarlySalary/ - Not Found
16-02-2021 12:04:12 INFO [Test_Suit  ]: https://twitter.com/Early_Salary - Bad Request
16-02-2021 12:04:12 INFO [Test_Suit  ]: https://www.linkedin.com/company/early-salary/ - Request denied
16-02-2021 12:04:12 INFO [Test_Suit  ]: https://www.earlysalary.com/about-us - OK
16-02-2021 12:04:13 INFO [Test_Suit  ]: https://www.earlysalary.com/career - OK
16-02-2021 12:04:13 INFO [Test_Suit  ]: https://www.earlysalary.com/contact-us - OK
16-02-2021 12:04:13 INFO [Test_Suit  ]: https://play.google.com/store/apps/details?id=com.earlysalary.android&hl=en_IN - Not Found
16-02-2021 12:04:13 INFO [Test_Suit  ]: https://itunes.apple.com/in/app/earlysalary-salary-advance-app/id1094602630?mt=8 - OK
16-02-2021 12:04:13 INFO [Test_Suit  ]: -------End of Test-------
